2016-10-05 10:39:15 
Start install: /home/a/avr1972/lightdiods.ru/public_html/tmp/jshop_responsive_template_1.0.9.zip IP:95.24.95.119 UID:870
2016-10-05 10:39:15 Copy file: /components/com_jshopping/css/responsive.css
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/cart/cart.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/cart/checkout.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/cart/wishlist.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/category/category_default.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/category/maincategory.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/category/products.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/adress.js.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/adress.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/finish.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/menu.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/orderemail.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/payments.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/previewfinish.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/checkout/shippings.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/content/content.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/list_products/block_pagination.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/list_products/form_filters.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/list_products/list_products.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/list_products/no_products.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/list_products/product.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/manufacturer/manufacturers.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/manufacturer/products.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/order/listorder.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/order/order.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/order/statusorder.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/block_image_middle.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/block_image_thumb.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/commentemail.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/demofiles.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/load.js.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/playmedia.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/product_default.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/ratingandhits.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/related.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/product/review.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/products/products.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/search/characteristics.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/search/form.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/search/noresult.php
2016-10-05 10:39:15 Copy file: /components/com_jshopping/templates/responsive/search/products.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/editaccount.js.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/editaccount.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/groupsinfo.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/login.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/logout.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/myaccount.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/register.js.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/user/register.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/vendor/info.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/vendor/products.php
2016-10-05 10:39:16 Copy file: /components/com_jshopping/templates/responsive/vendor/vendors.php
